InitTime
1738897356.739352
Timestamp,Sensor Data
0.4521982669830322,141.93
1.252723217010498,141.93
2.052218198776245,140.93
2.852283239364624,141.93
3.6527180671691895,141.93
4.452680587768555,142.93
5.252997159957886,144.93
6.052158832550049,145.93
6.852688550949097,145.93
7.652134656906128,147.93
8.452444076538086,150.93
9.252835512161255,153.93
10.052457332611084,154.93
10.852940320968628,155.93
11.652238607406616,158.93
12.452683448791504,162.93
13.252249479293823,166.93
14.05260443687439,173.93
14.852890253067017,176.93
15.652419805526733,183.93
16.452378749847412,188.93
17.252381563186646,196.93
18.052494525909424,210.93
18.85248374938965,231.93
19.70217537879944,229.93
20.50223708152771,215.93
21.30241560935974,209.93
22.102343559265137,208.93
22.9019775390625,210.93
23.702784538269043,212.93
24.502103090286255,212.93
25.3024423122406,203.93
26.10299038887024,198.93
26.903019666671753,201.93
27.702618837356567,194.93
28.502168893814087,192.93
29.302300214767456,194.93
30.102532863616943,189.93
30.90245485305786,190.93
31.702125310897827,188.93
32.50221037864685,182.93
33.30289340019226,183.93
34.10235595703125,184.93
34.90232300758362,177.93
35.70245814323425,182.93
36.50293159484863,177.93
37.30208468437195,182.93
38.10210132598877,180.93
38.95314621925354,175.93
39.75276327133179,182.93
40.55290865898132,179.93
41.35271453857422,181.93
42.152501821517944,184.93
42.952669620513916,180.93
43.752886056900024,185.93
44.55243253707886,187.93
45.352651596069336,182.93
46.15231442451477,190.93
46.95212531089783,185.93
47.752580881118774,194.93
48.552391052246094,193.93
49.352686643600464,197.93
50.15238404273987,199.93
50.95273447036743,198.93
51.75410723686218,204.93
52.55317258834839,208.93
53.35384273529053,218.93
54.15313148498535,219.93
54.95403432846069,227.93
55.753151655197144,228.93
56.55349326133728,233.93
57.35382151603699,227.93
58.15411710739136,246.93
59.003867864608765,248.93
59.804139852523804,239.93
60.60324788093567,264.93
61.40469312667847,270.93
62.20484471321106,275.93
63.004396200180054,259.93
63.80438280105591,298.93
64.60434031486511,328.93
65.40449595451355,355.93
66.20471596717834,327.93
67.00502943992615,299.93
67.80435037612915,298.93
68.60517239570618,291.93
69.40495109558105,304.93
70.20472860336304,322.93
71.00487422943115,324.93
71.80491948127747,319.93
72.60504055023193,320.93
73.40501952171326,311.93
74.20513153076172,314.93
75.0040910243988,320.93
75.80456376075745,310.93
