InitTime
1738714052.0044932
Timestamp,Sensor Data
0.2115802764892578,138.0
1.0123851299285889,138.0
1.8117876052856445,138.0
2.612180709838867,147.0
3.411588191986084,144.0
4.211573123931885,180.0
5.061408519744873,156.0
5.8623456954956055,291.0
6.6623923778533936,288.0
7.461559772491455,283.0
8.26229739189148,281.0
9.061923265457153,286.0
9.861999750137329,271.0
10.661728858947754,259.0
11.461472511291504,254.0
12.261561632156372,251.0
13.061994314193726,246.0
13.861767053604126,245.0
14.66180944442749,245.0
15.462325096130371,245.0
16.261794805526733,245.0
17.06165647506714,250.0
17.862301349639893,252.0
18.661607027053833,257.0
19.46190881729126,263.0
20.26231813430786,272.0
21.061556100845337,284.0
21.862435579299927,285.0
22.66232132911682,286.0
23.461998462677002,292.0
24.261932849884033,311.0
25.06171679496765,158.0
25.91198444366455,151.0
26.712172985076904,158.0
27.512324571609497,140.0
28.311458110809326,135.0
29.112210988998413,140.0
29.911615133285522,135.0
