InitTime
1738714052.0044932
Timestamp,Sensor Data
0.41162824630737305,130.93
1.2113983631134033,130.93
2.0121066570281982,130.93
2.8116230964660645,131.93
3.6117327213287354,133.93
4.411455869674683,137.93
5.261877536773682,143.93
6.062042236328125,149.93
6.861797332763672,159.93
7.661734580993652,172.93
8.461689710617065,183.93
9.261567115783691,205.93
10.061598539352417,240.93
10.861743927001953,272.93
11.662042140960693,238.93
12.461830139160156,250.93
13.262367963790894,242.93
14.061398267745972,245.93
14.861888885498047,237.93
15.661960363388062,238.93
16.46234631538391,241.93
17.26148009300232,234.93
18.061925411224365,244.93
18.862375497817993,252.93
19.661556243896484,272.93
20.461721658706665,247.93
21.261845111846924,214.93
22.062073469161987,226.93
22.86155867576599,211.93
23.66226625442505,198.93
24.462395191192627,180.93
25.312269687652588,166.93
26.1121928691864,157.93
26.911896228790283,145.93
27.711593627929688,145.93
28.511995553970337,142.93
29.311676025390625,142.93
30.11163640022278,142.93
