InitTime
1738962930.7457633
Timestamp,Sensor Data
0.4056994915008545,129.93
1.2058017253875732,129.93
2.055468797683716,130.93
2.8551337718963623,132.93
3.655409097671509,130.93
4.455820798873901,130.93
5.255329132080078,131.93
6.055469751358032,130.93
6.854893684387207,133.93
7.655004262924194,135.93
8.45557975769043,137.93
9.256714582443237,141.93
10.056742906570435,141.93
10.85671877861023,146.93
11.65685224533081,149.93
12.45673680305481,153.93
13.256603956222534,159.93
14.056694984436035,159.93
14.856560468673706,172.93
15.655869722366333,177.93
16.456653356552124,184.93
17.25645399093628,195.93
18.056418418884277,202.93
18.856516361236572,225.93
19.656026124954224,245.93
20.45610213279724,268.93
21.306859731674194,237.93
22.10701847076416,231.93
22.90653395652771,268.93
23.706572771072388,243.93
24.50654911994934,231.93
25.30646586418152,234.93
26.10616159439087,236.93
26.906198978424072,215.93
27.706005811691284,207.93
28.50672483444214,202.93
29.306475400924683,175.93
30.106331825256348,137.93
30.90689706802368,134.93
31.706103324890137,135.93
32.50658583641052,133.93
33.30677819252014,132.93
34.106313705444336,129.93
34.90684795379639,129.93
35.70673108100891,129.93
36.50588250160217,129.93
37.30677556991577,129.93
38.10636615753174,129.93
38.906198024749756,129.93
39.75620245933533,129.93
40.55694317817688,136.93
41.356603145599365,172.93
42.15615487098694,239.93
42.95648217201233,239.93
43.75717329978943,244.93
44.55641984939575,255.93
45.35685443878174,267.93
46.15594005584717,267.93
46.95664048194885,262.93
47.75659704208374,233.93
48.556654930114746,204.93
49.35674452781677,209.93
50.15663242340088,210.93
50.956918239593506,219.93
51.75607991218567,218.93
52.5567409992218,208.93
53.35655498504639,205.93
54.15687417984009,200.93
54.956764698028564,189.93
55.75669741630554,187.93
56.556750774383545,179.93
57.35710787773132,173.93
58.15717077255249,167.93
59.006773710250854,160.93
59.80620765686035,158.93
60.6067373752594,154.93
61.40665626525879,152.93
62.205989599227905,148.93
63.006561279296875,145.93
63.806668758392334,144.93
64.606520652771,139.93
65.40662884712219,137.93
66.20692205429077,136.93
67.00675177574158,134.93
67.80662870407104,134.93
68.60690259933472,133.93
69.40674352645874,132.93
70.20579051971436,131.93
71.00632071495056,132.93
71.80660676956177,132.93
72.60671496391296,133.93
73.40654063224792,133.93
74.20690989494324,133.93
75.00678706169128,137.93
75.8060188293457,132.93
