InitTime
1738962930.5446866
Timestamp,Sensor Data
0.8067560195922852,0
1.6559205055236816,0
2.456138849258423,2
3.2563374042510986,4
4.056421995162964,6
4.85647988319397,8
5.656036853790283,10
6.456584692001343,12
7.255958795547485,14
8.056064128875732,16
8.856299877166748,18
9.657798767089844,20
10.457840204238892,22
11.257778882980347,24
12.057913780212402,26
12.8579421043396,28
13.657709121704102,30
14.457752704620361,32
15.25722599029541,34
16.056963682174683,36
16.85736846923828,38
17.657784461975098,40
18.45743703842163,42
19.25764513015747,44
20.05769658088684,46
20.85729956626892,48
21.70791530609131,50
22.50715160369873,52
23.30749821662903,54
24.107921361923218,56
24.907843351364136,58
25.707478761672974,60
26.50732684135437,62
27.30752658843994,64
28.108007669448853,66
28.90713381767273,68
29.70768141746521,70
30.507999420166016,72
31.307060480117798,74
32.10797452926636,76
32.90766382217407,78
33.7076096534729,80
34.507431507110596,82
35.30761241912842,84
36.10769772529602,86
36.90780067443848,88
37.70701718330383,90
38.50753164291382,92
39.3578143119812,94
40.15723705291748,96
40.95785331726074,98
41.75737738609314,100
42.55724263191223,102
43.35764527320862,104
44.157203674316406,106
44.95747637748718,108
45.75801944732666,110
46.55803298950195,112
47.35753035545349,114
48.15769958496094,116
48.95797944068909,118
49.75758409500122,120
50.557734966278076,122
51.35784292221069,124
52.157846212387085,126
52.957483530044556,128
53.7581148147583,130
54.556936264038086,132
55.357330560684204,134
56.15774726867676,136
56.957828760147095,138
57.757922410964966,140
58.55805516242981,142
59.40786957740784,144
60.207372426986694,146
61.007824182510376,148
61.80772805213928,150
62.60787510871887,152
63.40767312049866,154
64.20794105529785,156
65.00696420669556,158
65.8078031539917,160
66.6069860458374,162
67.40783023834229,164
68.2076804637909,166
69.00799942016602,168
69.80786037445068,170
70.60758399963379,172
71.40768694877625,174
72.20778679847717,176
73.00789022445679,178
73.80726933479309,180
74.60774517059326,182
75.40767502784729,184
76.20721912384033,186
